input,target
Who did the first work generally recognized as AI?,Warren McCulloch and Walter Pitts (1943).
What sources was drawn on the formation of the first work generally recognized as AI?,knowledge of the basic physiology and function of neurons in the brain; a formal analysis of propositional logic due to Russell and Whitehead; and Turing's theory of computation.
Who created the Hebbian learning rule?,Donald Hebb (1949).
When the first neural network is built?,1950.
What is the first neural network called?,The SNARC.
"""Who introduced the Turing test",machine learning
Alan Turing prefer what method on creating human-level Al?,He prefer to develop learning algorithms and then teach the machine rather than by programming its intelligence by hand.
Who presented the Logic Theorist (LT)?,Allen Newell and Herbert Simon from Carnegie Tech.
What does General Problem Solver (GPS) is designed for?,GPS was designed from the start to imitate human problem-solving protocols.
Which model was robably the first program to embody the “thinking humanly” approach?,General Problem Solver (GPS).
Who formulate the famous physical symbol system hypothesis?,Allen Newell and Herbert Simon.
What does physical symbol system hypothesis states?,a physical symbol system has the necessary and sufficient means for general intelligent action.
Who constructed the Geometry Theorem Prover?,Herbert Gelernter (1959).
Who defined the high-level language Lisp?,John McCarthy.
who discovered a complete theorem-proving algorithm for first-order logic in 1965?,J. A. Robinson's
What is the most famous microworld?,The blocks world.
What does the perceptron convergence theorem say?,"""The theorem says that the learning algorithm can adjust the connection strengths of a perceptron to match any input data"
What does the book Preceptrons (1969) mentioned?,"""Although perceptrons (a simple form of neural network) could be shown to learn anything they were capable of representing"
What is the weak methods in 1969?,a general-purpose search mechanism trying to string together elementary reasoning steps to find complete solutions.
Why weak methods in 1969 are called weak methods?,They do not scale up to large or difficult problem instances.
"""Why is the DENDRAL program powerful","according to its authors?"""
Which program is the first successful knowledge-intensive system?,The DENDRAL program.
What does knowledge-intensive system mean?,A system that its expertise derived from large numbers of special-purpose rules.
What is the content of the Heuristic Programming Project (HPP)?,It is to investigate the extent to which the new methodology of expert systems could be applied to other areas.
What function does MYCIN system contribute in?,diagnosing blood infections.
What is the major differences between MYCIN and DENDRAL?,"""First"
What calculus of uncertainty does MYCIN incorporated?,certainty factors.
How is the performance of certainty factors in MYCIN?,It seemed (at the time) to fit well with how doctors assessed the impact of evidence on the diagnosis.
Which system is the first successful commercial expert system?,R1.
Where does the first successful commercial expert system began operation?,"""The Digital Equipment Corporation (McDermott"
What does robust language understanding requires?,general knowledge about the world and a general method for using that knowledge.
What does Minsky's idea of frames (1975) implies?,assembling facts about particular object and event types and arranging the types into a large taxonomic hierarchy analogous to a biological taxonomy.
What is the content of the “Fifth Generation” project announced by the Japanese government in 1981?,"""A 10-year plan to build massively parallel"
"""What caused the """"AI winter""""?""",Many companies fell by the wayside as they failed to deliver on extravagant promises.
Who described symbols as the “luminiferous aether of Al”?,Geoff Hinton
What does “luminiferous aether of Al” by Geoff Hinton mean?,A reference to the non-existent medium through which many 19th-century physicists believed that electromagnetic waves propagated.
How is the connectionist models better suited to the messiness of the real world?,It forms internal concepts in a more fluid and imprecise way.
What approach does the brittleness of expert systems led to?,"""It is an approach incorporating probability rather than Boolean logic"
